name_nsi,price,index,condition,area,provision,certificate,construction_type,year_built,last_reconstruction,total_floors,floor,lift,balkonies,loggia,cellar,type,rooms,district,balkonies_unknown,loggia_unknown,lift_unknown,cellar_unknown,total_floors_unknown,last_reconstruction_unknown,year_built_unknown,floor_unknown,price_per_sqm,building_age,age_bucket,price_segment,size_segment,price_visual,area_visual
Semerovo,42000,,Original condition,58.0,0,Unknown,Unknown,,,,,0,,,0,3-room apartment,3,Nové Zámky,1,1,0,0,1,1,1,1,724.1379310344828,,Unknown,Budget,Small,42000,58.0
Semerovo,42000,,Original condition,58.0,0,none,Brick,,,2.0,,0,,,0,3-room apartment,3,Nové Zámky,1,1,0,0,0,1,1,1,724.1379310344828,,Unknown,Budget,Small,42000,58.0
Štúrovo,107000,8.3,Partial reconstruction,40.0,0,Unknown,Unknown,,,5.0,3.0,0,,,0,1-room apartment,1,Nové Zámky,1,1,0,0,0,1,1,0,2675.0,,Unknown,Budget,Studio,107000,40.0
Štúrovo,105000,,Complete reconstruction,76.0,1,C,Unknown,,,7.0,4.0,1,,,0,3-room apartment,3,Nové Zámky,1,1,0,0,0,1,1,0,1381.578947368421,,Unknown,Budget,Standard,105000,76.0
Štúrovo,82000,,Partial reconstruction,63.0,0,Unknown,Unknown,,2018.0,,2.0,0,,,0,2-room apartment,2,Nové Zámky,1,1,0,0,1,0,1,0,1301.5873015873017,,Unknown,Budget,Small,82000,63.0
Štúrovo,102000,,Complete reconstruction,76.5,0,none,Unknown,,,7.0,2.0,0,,,0,3-room apartment,3,Nové Zámky,1,1,0,0,0,1,1,0,1333.3333333333333,,Unknown,Budget,Standard,102000,76.5
Štúrovo,129000,8.2,Complete reconstruction,63.0,0,Unknown,Unknown,,,,,0,,,0,3-room apartment,3,Nové Zámky,1,1,0,0,1,1,1,1,2047.6190476190477,,Unknown,Budget,Small,129000,63.0
Štúrovo,95000,,Complete reconstruction,63.0,1,none,Unknown,,,,,0,,,0,2-room apartment,2,Nové Zámky,1,1,0,0,1,1,1,1,1507.936507936508,,Unknown,Budget,Small,95000,63.0
Štúrovo,82000,,Original condition,63.45,0,Unknown,Panel,,,,,1,,,0,2-room apartment,2,Nové Zámky,1,1,0,0,1,1,1,1,1292.3561859732072,,Unknown,Budget,Small,82000,63.45
Štúrovo,74900,,Original condition,64.0,1,Unknown,Unknown,,,12.0,3.0,1,,,0,2-room apartment,2,Nové Zámky,1,1,0,0,0,1,1,0,1170.3125,,Unknown,Budget,Small,74900,64.0
Štúrovo,64900,,Original condition,57.0,0,none,Panel,,,,7.0,1,,,0,2-room apartment,2,Nové Zámky,1,1,0,0,1,1,1,0,1138.5964912280701,,Unknown,Budget,Small,64900,57.0
